name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Kitchen Srinidhi,No,,4.8/5,3461,Indiranagar,Bar,"South Indian, North Indian",2500,Drinks & nightlife,Electronic City
New Taj Mahal Cafe,No,No,4.7/5,38,Whitefield  ,Desserts,"Biryani, North Indian",1200,Lunch,Koramangala
Haveli,No,No,2.7/5,6402,Majestic  ,Sweet Shop,"Sandwich, Fast Food",1000,Buffet,BTM Layout
House Natural Ice Cream,No,No,3.2/5,2863,Sarjapur Road,,Chinese,700,Dine-out,Electronic City
Wrap It Up,No,No,3.4/5,2255,Indiranagar,"Pub, Bar","Seafood, Continental",700,Buffet,Koramangala
Hotel Pai Vista,No,,-,2896,Yelahanka,Sweet Shop,,450,Drinks & nightlife,Banashankari
Freshmenu,No,No,4.8/5,6052,Marathahalli,Bakery,"Seafood, Continental",150,Dine-out,Jayanagar
Biryani Zone,Yes,No,2.9/5,3953,Malleshwaram,Food Court,"North Indian, Chinese",2000,Cafes,JP Nagar
Belgian Waffle,No,No,3.0/5,1280,RT Nagar,,"Seafood, Continental",800,Dine-out,HSR Layout
Box8,No,Yes,3.8/5,943,Majestic,Delivery,"Desserts, Bakery",200,Dine-out,Koramangala
Spice Garden,No,No,NEW,5429,Domlur,Quick Bites,"Continental, North Indian",,Cafes,Banashankari
India Gate,Yes,Yes,3.5/5,3020,Yelahanka,Sweet Shop,"Pizza, Fast Food","2,500",Dine-out,BTM Layout
Srinidhi,No,No,3.1/5,7099,Majestic,"Pub, Bar","South Indian, North Indian",900,Cafes,BTM Layout
Meghana Foods,No,No,3.8/5,1387,Electronic City,Cafe,Street Food,300,Lunch,Marathahalli
Biryani Zone,No,No,,1000,Frazer Town,Cafe,"Seafood, Continental",450,Drinks & nightlife,Jayanagar
Rolls Mania,No,,3.1/5,1913,HSR Layout  ,Bar,"South Indian, North Indian",2000,Buffet,BTM Layout
Subway,Yes,No,2.7/5,2382,Sarjapur Road,Cafe,"Mughlai, North Indian",500,Lunch,BTM Layout
Biryani Faasos,No,No,3.2/5,7742,Indiranagar,"Pub, Bar",Street Food,500,Cafes,Banashankari
Vidyarthi Bhavan,Yes,Yes,3.4/5,6139,Malleshwaram,Bakery,"Bakery, Cafe",250,Dine-out,Jayanagar
Natural Ice Cream,Yes,Yes,3.4/5,4037,Electronic City,"Pub, Bar",,350,Dine-out,Jayanagar
New Taj Mahal Cafe,No,No,3.3/5,7406,Bellandur,Bar,"Continental, North Indian","1,500",Dine-out,Indiranagar
Palace McDonald's,No,No,3.1/5,5016,Richmond Town,Cafe,"Ice Cream, Desserts",250,Lunch,Marathahalli
Vidyarthi Bhavan,No,No,2.9/5,4440,Richmond Town,Bar,"Bakery, Cafe",,Lunch,Marathahalli
Dominos,Yes,Yes,2.6/5,2190,Frazer Town  ,Sweet Shop,Fast Food,350,Dine-out,BTM Layout
Brahmin Coffee Bar,No,Yes,4.0/5,2800,Rajajinagar,Bar,"Seafood, Continental",2500,Delivery,Electronic City
Hotel Srinidhi,No,No,3.3/5,1388,MG Road,Mess,"Sandwich, Fast Food",600,Delivery,Indiranagar
Biryani Faasos,Yes,Yes,3.3/5,5481,Frazer Town,"Pub, Bar",,150,Desserts,Indiranagar
Meghana Foods,Yes,Yes,3.2/5,1735,MG Road,Quick Bites,"Mughlai, North Indian",350,Dine-out,BTM Layout
Barbeque Nation,No,No,4.1/5,6479,Domlur,"Pub, Bar",Fast Food,500,Delivery,HSR Layout
Srinidhi,No,No,4.8/5,1525,Jayanagar,Bakery,"Pizza, Fast Food",600,Dine-out,HSR Layout
Restaurant Cafe Coffee Day,Yes,No,2.7/5,3427,Indiranagar,Cafe,"South Indian, Chinese",450,Lunch,HSR Layout
House Wrap It Up,Yes,Yes,3.7/5,1243,Majestic,"Pub, Bar","Ice Cream, Desserts",700,Lunch,HSR Layout
Biryani Chinese Hut,No,Yes,-,5463,Vijayanagar,Desserts,North Indian,400,Drinks & nightlife,Banashankari
Wrap It Up,Yes,No,3.1/5,574,Majestic,Beverage Shop,"Mughlai, North Indian",400,Buffet,Whitefield
Srinidhi,Yes,No,2.7/5,7393,Church Street,Casual Dining,"Pizza, Fast Food",450,Drinks & nightlife,Koramangala
Corner Spice Garden,No,,3.5/5,7842,Bellandur,"Pub, Bar",,500,Buffet,BTM Layout
Tasty Bites,Yes,Yes,4.8/5,2875,Domlur,Bar,"South Indian, North Indian",450,Dine-out,Banashankari
Belgian Waffle,No,No,4.7/5,3072,Marathahalli,Casual Dining,,250,Drinks & nightlife,Electronic City
Toit Brewpub,No,No,3.9/5,3511,Church Street,Beverage Shop,North Indian,1500,Cafes,BTM Layout
Udupi Palace,Yes,Yes,3.8/5,4783,HSR Layout,Bakery,"Seafood, Continental",300,Delivery,BTM Layout
The Punjab Grill,No,No,4.1/5,4023,Vijayanagar,Bar,"Cafe, Beverages",300,Drinks & nightlife,JP Nagar
Rolls Mania,No,No,4.4/5,5548,Church Street,Bakery,Biryani,600,Lunch,JP Nagar
Vasudev Adiga,No,No,3.8/5,6047,JP Nagar,Delivery,"Cafe, Beverages",350,Lunch,Indiranagar
New Taj Mahal Cafe,No,No,4.8/5,7266,Malleshwaram,Desserts,Biryani,600,Lunch,Banashankari
House Faasos,Yes,Yes,4.9/5,4815,Frazer Town,Bakery,South Indian,500,Delivery,HSR Layout
Subway,Yes,Yes,4.2/5,4725,HSR Layout,Bakery,"Pizza, Fast Food",1000,Dine-out,Jayanagar
India Gate,No,Yes,4.0/5,3229,Rajajinagar,Desserts,"Biryani, North Indian",400,Buffet,JP Nagar
Hotel Pai Vista,No,No,4.9/5,7890,Frazer Town,Cafe,"Mughlai, North Indian",,Buffet,JP Nagar
Freshmenu,No,No,3.1/5,1347,Jayanagar,Desserts,"Sandwich, Fast Food","1,500",Buffet,Whitefield
Hotel Pai Vista,Yes,Yes,2.7/5,1269,Yelahanka,Quick Bites,North Indian,800,Delivery,Whitefield
Spice Garden,Yes,No,3.8/5,1435,Basavanagudi,Casual Dining,North Indian,900,Lunch,Jayanagar
Beijing Bites,Yes,No,2.6/5,5179,HSR Layout  ,Delivery,South Indian,1000,Lunch,Indiranagar
Belgian Waffle,No,Yes,4.3/5,7620,Hebbal,Quick Bites,"North Indian, Chinese",250,Desserts,Koramangala
Eat Street,No,Yes,4.2/5,6508,Banashankari,Delivery,"Continental, North Indian",300,Lunch,Marathahalli
Udupi Palace,No,Yes,4.7/5,5208,Richmond Town,Casual Dining,"North Indian, Chinese",,Delivery,Koramangala
Meghana Foods,Yes,Yes,4.2/5,4930,Jayanagar,Bakery,South Indian,1200,Delivery,Indiranagar
Cafe Coffee Day,Yes,Yes,4.3/5,5699,BTM Layout,Sweet Shop,"Bakery, Cafe",300,Desserts,Banashankari
Haveli,No,No,2.5/5,4455,Basavanagudi  ,,South Indian,200,Buffet,Banashankari
Chai Point,No,No,3.7/5,6721,Marathahalli,Sweet Shop,"Continental, North Indian","1,000",Desserts,Jayanagar
Punjab Grill,Yes,Yes,2.7/5,6596,Church Street,Beverage Shop,,350,Buffet,Whitefield
Palace Dominos,No,Yes,4.0/5,707,Malleshwaram,Desserts,"Italian, Pizza",250,Dine-out,Whitefield
Satkar,Yes,Yes,3.0/5,3609,Church Street  ,Desserts,Biryani,350,Delivery,Koramangala
Faasos,Yes,No,,1026,Jayanagar,Mess,"Italian, Pizza",1200,Delivery,HSR Layout
Vidyarthi Bhavan,No,No,3.5/5,3943,Indiranagar,,"North Indian, Chinese",2500,Buffet,JP Nagar
McDonald's,Yes,Yes,4.8/5,1660,Banashankari,Bakery,,700,Dine-out,BTM Layout
Cafe Haveli,No,Yes,2.6/5,7630,Whitefield,"Casual Dining, Cafe","Ice Cream, Desserts",600,Delivery,Electronic City
Donne Biryani,Yes,Yes,4.4/5,7446,Whitefield,Beverage Shop,Street Food,600,Desserts,JP Nagar
Punjabi Tadka,Yes,No,NEW,5408,Indiranagar,"Pub, Bar",North Indian,1000,Cafes,JP Nagar
Chinese Hut,No,Yes,4.9/5,7052,Rajajinagar,Desserts,,900,Buffet,Electronic City
Chinese Hut,Yes,No,4.1/5,6257,BTM Layout  ,Bakery,"South Indian, Chinese",700,Lunch,Koramangala
Cafe Vasudev Adiga,Yes,Yes,4.2/5,7404,Frazer Town,Fine Dining,Chinese,200,Dine-out,Whitefield
Starbucks,Yes,Yes,2.6/5,5439,MG Road  ,Delivery,"Italian, Pizza",400,Dine-out,Indiranagar
Kamat Upachar,No,No,3.5/5,1763,Malleshwaram,Sweet Shop,"North Indian, Chinese",250,Buffet,Banashankari
Truffles,No,Yes,3.9/5,1273,Sarjapur Road,Beverage Shop,Biryani,700,Cafes,Koramangala
Haveli,No,Yes,3.0/5,6262,Richmond Town,Food Court,North Indian,400,Dine-out,Whitefield
Truffles,Yes,Yes,3.3/5,1408,Koramangala,Mess,"Sandwich, Fast Food",300,Drinks & nightlife,HSR Layout
Vidyarthi Bhavan,Yes,,4.6/5,4579,Richmond Town,Cafe,"South Indian, Chinese",1000,Desserts,Whitefield
Rolls Mania,Yes,Yes,4.7/5,2971,Jayanagar,Bakery,"Continental, North Indian",150,Dine-out,BTM Layout
MTR,No,No,2.6/5,7009,JP Nagar,,"Pizza, Fast Food",900,Delivery,Electronic City
Kitchen Empire Restaurant,Yes,Yes,4.5/5,4795,Malleshwaram,,Street Food,700,Cafes,Marathahalli
The Burger Lab,No,No,2.7/5,1985,JP Nagar,"Pub, Bar",Biryani,1200,Delivery,Marathahalli
